"","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$"
"Country"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Afghanistan","60.1","60.1","56.0","52.2","51.6","45.6","42.3","38.7","31.8","28.4","24.4","20.9","17.5","16.2","No data","No data"
"Albania","265.9","314.9","277.7","247.3","248.2","204.2","207.4","240.4","216.4","172.8","165.9","152.0","113.6","89.9","81.9","75.5"
"Algeria","291.6","357.9","330.2","333.9","286.2","228.4","207.3","206.1","150.4","116.2","100.3","92.1","75.4","66.2","66.5","61.3"
"Andorra","4315.7","5088.2","5751.4","4641.6","4860.5","4595.7","4721.9","4985.6","4764.9","4249.2","4036.8","3539.7","3008.3","2332.2","2081.3","2050.6"
"Angola","108.6","131.8","143.8","122.5","122.2","96.7","120.0","135.4","92.6","74.3","57.4","52.1","36.7","30.2","27.3","13.9"
"Antigua and Barbuda","657.2","731.5","655.5","640.2","683.6","672.8","617.8","676.6","597.1","544.9","489.9","424.4","433.4","406.7","409.3","381.1"
"Argentina","997.9","845.1","920.8","864.5","806.9","698.6","576.8","567.3","465.2","380.1","326.6","250.7","218.0","137.9","403.0","418.4"
"Armenia","366.0","281.3","317.9","247.3","133.2","169.4","140.4","174.3","170.9","120.6","115.6","98.1","52.2","44.6","45.4","40.5"
"Australia","4934.0","5637.6","5838.4","6047.0","5876.9","4952.8","3997.5","4088.8","3794.2","3177.5","3004.1","2757.6","2241.0","1763.8","1558.2","1632.4"
"Austria","4536.1","5300.6","5161.2","4909.0","5076.3","4724.7","4837.7","4959.2","4422.0","3840.1","3676.1","3552.9","3084.3","2486.1","2280.5","2263.5"
"Azerbaijan","368.3","447.3","423.4","383.8","345.4","287.4","267.6","221.6","178.7","139.8","114.8","75.5","52.1","28.0","25.7","24.9"
"Bahamas","1685.5","1635.4","1664.7","1722.9","1645.0","1632.3","1645.7","1720.8","1694.3","1610.9","1372.8","1292.9","1213.0","1177.4","1091.9","1084.3"
"Bahrain","1190.0","1171.0","1065.4","972.2","694.4","681.0","668.0","657.9","604.3","556.4","532.5","501.8","507.0","488.4","472.6","466.7"
"Bangladesh","31.8","28.8","25.9","22.7","22.2","20.2","17.4","15.3","13.9","12.0","11.3","10.7","10.0","9.1","8.1","8.3"
"Barbados","1160.2","1179.6","1261.5","1280.3","1149.9","1102.7","1153.9","1123.1","1028.7","974.2","897.0","855.4","791.2","672.0","624.1","604.8"
"Belarus","351.8","437.0","444.2","357.4","294.0","306.2","284.6","349.7","279.4","222.5","197.1","141.8","109.2","86.6","73.8","57.4"
